timestamp,idle_seconds,app_name,window_title
2025-08-08 17:42:15,18,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:42:30,33,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:43:00,63,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:43:30,23,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:44:00,4,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:44:30,34,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:45:00,0,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:45:30,18,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:46:00,48,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:46:30,13,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:47:00,0,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:47:30,5,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:48:00,35,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:48:30,65,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:49:00,95,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:49:30,125,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:50:00,155,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:50:30,18,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:51:00,0,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:51:30,30,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
2025-08-08 17:52:00,60,Code.exe,screentime_cli.py - Terminal ScreenTime - Visual Studio Code
